Exporter M.49,Exporter ISO3,Exporter,Exporter region,Year,Value (1000USD),Weight (1000kg)
577,,"Other Africa, nes",,2005,13602.684,11371.384
579,NOR,Norway,Europe,2005,84895513.19,231309026.5
580,MNP,Northern Mariana Islands,Oceania (excl. Australia and New Zealand),2005,700.133,2987.177
581,UMI,United States Minor Outlying Islands,,2005,3400.095,18432.536
583,FSM,Micronesia,Oceania (excl. Australia and New Zealand),2005,63681.388,67843.555
584,MHL,Marshall Islands,Oceania (excl. Australia and New Zealand),2005,65589.605,61956.521
585,PLW,Palau,Oceania (excl. Australia and New Zealand),2005,30762.18,5302.595
586,PAK,Pakistan,Central and Southern Asia,2005,4871180.708,10707354.22
591,PAN,Panama,Latin America and the Caribbean,2005,1492436.921,2287833.566
598,PNG,Papua New Guinea,Oceania (excl. Australia and New Zealand),2005,2964507.246,4240236.602
600,PRY,Paraguay,Latin America and the Caribbean,2005,2002814.551,8175938.262
604,PER,Peru,Latin America and the Caribbean,2005,15257700.19,21077008.5
608,PHL,Philippines,Eastern and South-Eastern Asia (excl. China),2005,5706370.777,21716702.04
612,PCN,Pitcairn,Oceania (excl. Australia and New Zealand),2005,282.8,259.639
616,POL,Poland,Europe,2005,18647223.72,55697640.25
620,PRT,Portugal,Europe,2005,7013972.913,16294215.06
624,GNB,Guinea-Bissau,Sub-Saharan Africa,2005,82370.16815,90427.59294
626,TLS,Timor-Leste,Eastern and South-Eastern Asia (excl. China),2005,75578.11527,161780.7142
634,QAT,Qatar,Northern Africa and Western Asia,2005,24949692.68,95521596.1
637,,"North America and Central America, nes",,2005,2135.308,3298.167
642,ROU,Romania,Europe,2005,8639977.684,21001608.04
643,RUS,Russian Federation,Europe,2005,235805778.3,885797767.5
646,RWA,Rwanda,Sub-Saharan Africa,2005,161844.502,75449.00181
654,SHN,Saint Helena,Sub-Saharan Africa,2005,5820.525,1165.434
659,KNA,Saint Kitts and Nevis,Latin America and the Caribbean,2005,7735.058407,11671.12433
660,AIA,Anguilla,Latin America and the Caribbean,2005,2040.552,2890.81
662,LCA,Saint Lucia,Latin America and the Caribbean,2005,93620.68794,281989.2179
666,SPM,Saint Pierre and Miquelon,Northern America,2005,10914.986,4133.245
670,VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,2005,33167.55417,52510.93233
674,SMR,San Marino,Europe,2005,594.893,284.945
678,STP,Sao Tome and Principe,Sub-Saharan Africa,2005,5608.443589,4891.862483
682,SAU,Saudi Arabia,Northern Africa and Western Asia,2005,262196785.9,711859076.4
686,SEN,Senegal,Sub-Saharan Africa,2005,893665.6886,2420182.531
690,SYC,Seychelles,Sub-Saharan Africa,2005,188351.223,164108.368
694,SLE,Sierra Leone,Sub-Saharan Africa,2005,36010.34,50676.625
699,IND,India,Central and Southern Asia,2005,50828908.58,163594108.5
702,SGP,Singapore,Eastern and South-Eastern Asia (excl. China),2005,35449236.13,71018077.51
703,SVK,Slovakia,Europe,2005,7464210.703,18423318.24
704,VNM,Vietnam,Eastern and South-Eastern Asia (excl. China),2005,15996400.23,43708005.31
705,SVN,Slovenia,Europe,2005,2192789.682,3415756.057
706,SOM,Somalia,Sub-Saharan Africa,2005,169470.409,283149.824
710,ZAF,South Africa,Sub-Saharan Africa,2005,37516773.14,174391034.3
716,ZWE,Zimbabwe,Sub-Saharan Africa,2005,1687188.945,2229319.142
724,ESP,Spain,Europe,2005,44702482.45,66646188.26
732,ESH,Western Sahara,Northern Africa and Western Asia,2005,356,172.953
736,SDN,Former Sudan,,2005,8971570.71,24459810.77
740,SUR,Suriname,Latin America and the Caribbean,2005,335142.592,189608.05
748,SWZ,Eswatini,Sub-Saharan Africa,2005,504101.3775,1818439.888
752,SWE,Sweden,Europe,2005,26026933.32,63102476.3
757,CHE,Switzerland,Europe,2005,21485450.92,15684206.34
760,SYR,Syria,Northern Africa and Western Asia,2005,5756395.835,18340484.69
762,TJK,Tajikistan,Central and Southern Asia,2005,717160.169,576537.914
764,THA,Thailand,Eastern and South-Eastern Asia (excl. China),2005,23320427,60707183.37
768,TGO,Togo,Sub-Saharan Africa,2005,555512.5286,3574789.201
772,TKL,Tokelau,Oceania (excl. Australia and New Zealand),2005,12015.631,12951.809
776,TON,Tonga,Oceania (excl. Australia and New Zealand),2005,15765.577,19058.765
780,TTO,Trinidad and Tobago,Latin America and the Caribbean,2005,8634025.112,24106707.89
784,ARE,United Arab Emirates,Northern Africa and Western Asia,2005,85873948.66,235616455.4
788,TUN,Tunisia,Northern Africa and Western Asia,2005,3185694.049,10103371.3
792,TUR,Turkey,Northern Africa and Western Asia,2005,17170012.9,48484029.74
795,TKM,Turkmenistan,Central and Southern Asia,2005,4542925,30691961.06
796,TCA,Turks and Caicos Islands,Latin America and the Caribbean,2005,13951.548,10403.351
798,TUV,Tuvalu,Oceania (excl. Australia and New Zealand),2005,48.153,24.856
800,UGA,Uganda,Sub-Saharan Africa,2005,788347.1957,745230.8011
804,UKR,Ukraine,Europe,2005,25477072.73,116647766.8
807,MKD,North Macedonia,Europe,2005,1092599.007,2156688.814
818,EGY,Egypt,Northern Africa and Western Asia,2005,10052163.44,34008073.46
826,GBR,United Kingdom,Europe,2005,79987478.33,152861338.8
834,TZA,Tanzania,Sub-Saharan Africa,2005,1763465.69,1339036.685
837,,Bunkers,,2005,2168.553,6518.759
838,,Free Zones,,2005,435313.962,828301.218
839,,Special Categories,,2005,25579100.99,94996313.11
842,USA,United States,Northern America,2005,146975508.1,378509335.5
854,BFA,Burkina Faso,Sub-Saharan Africa,2005,545517.4615,680180.8227
858,URY,Uruguay,Latin America and the Caribbean,2005,3097470.788,6630915.118
860,UZB,Uzbekistan,Central and Southern Asia,2005,2949317.771,8618697.387
862,VEN,Venezuela,Latin America and the Caribbean,2005,63851797.5,191701588.2
876,WLF,Wallis and Futuna Islands,Oceania (excl. Australia and New Zealand),2005,243.292,142.683
882,WSM,Samoa,Oceania (excl. Australia and New Zealand),2005,21595.92609,12145.8001
887,YEM,Yemen,Northern Africa and Western Asia,2005,6360117.429,16203824.72
891,SCG,Serbia and Montenegro,,2005,2159328.257,5163015.807
894,ZMB,Zambia,Sub-Saharan Africa,2005,2605575.851,1695694.973
899,,"Areas, nes",,2005,52938209.59,149424369.2
4,AFG,Afghanistan,Central and Southern Asia,2006,173236.373,344975.514
8,ALB,Albania,Europe,2006,256340.6319,1016677.973
10,ATA,Antarctica,,2006,328.592,172.627
12,DZA,Algeria,Northern Africa and Western Asia,2006,57287071.35,144079724.6
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2006,7181.327,17006.301
20,AND,Andorra,Europe,2006,58329.39977,369209.5897
24,AGO,Angola,Sub-Saharan Africa,2006,31361229.37,67302609.3
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2006,12458.011,28429.071
31,AZE,Azerbaijan,Northern Africa and Western Asia,2006,8811583.92,18947088.05
32,ARG,Argentina,Latin America and the Caribbean,2006,33449165.89,93962219.87
36,AUS,Australia,Australia and New Zealand,2006,105503896.2,691199728.7
40,AUT,Austria,Europe,2006,21940915.47,31682771.25
44,BHS,Bahamas,Latin America and the Caribbean,2006,397768.9837,5473001.686
48,BHR,Bahrain,Northern Africa and Western Asia,2006,14933940.57,32649453.16
50,BGD,Bangladesh,Central and Southern Asia,2006,1598300.384,2265858.268
51,ARM,Armenia,Northern Africa and Western Asia,2006,776949.6106,747347.4179
