Importer M.49,Importer ISO3,Importer,Importer region,Year,Value (1000USD),Weight (1000kg)
292,GIB,Gibraltar,Europe,2012,16017315.24,20225118.99
296,KIR,Kiribati,Oceania (excl. Australia and New Zealand),2012,55735.32721,51054.48992
300,GRC,Greece,Europe,2012,32317326.26,41143931.79
304,GRL,Greenland,Northern America,2012,349499.4697,284617.1521
308,GRD,Grenada,Latin America and the Caribbean,2012,78832.067,194001.023
316,GUM,Guam,Oceania (excl. Australia and New Zealand),2012,752150.417,974061.428
320,GTM,Guatemala,Latin America and the Caribbean,2012,6031883.08,8903456.635
324,GIN,Guinea,Sub-Saharan Africa,2012,1246733.594,2682084.755
328,GUY,Guyana,Latin America and the Caribbean,2012,935080.8828,1756653.321
332,HTI,Haiti,Latin America and the Caribbean,2012,1058520.164,2287437.421
334,HMD,Heard Island and McDonald Islands,,2012,311.116,168.576
336,VAT,Holy See,Europe,2012,24954.982,19844.126
340,HND,Honduras,Latin America and the Caribbean,2012,4202318.85,5345540.088
344,HKG,"China, Hong Kong SAR",China,2012,122041123.2,70188068.98
348,HUN,Hungary,Europe,2012,22036293.21,30061664.3
352,ISL,Iceland,Europe,2012,1266361.918,2106326.797
360,IDN,Indonesia,Eastern and South-Eastern Asia (excl. China),2012,81220221.52,111636142.7
364,IRN,Iran,Central and Southern Asia,2012,23293036.31,28033216.34
368,IRQ,Iraq,Northern Africa and Western Asia,2012,11607506.76,18009913.97
372,IRL,Ireland,Europe,2012,18536979.06,31101036.46
376,ISR,Israel,Northern Africa and Western Asia,2012,36465212.94,129953623.5
381,ITA,Italy,Europe,2012,214736749.6,284275282.8
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,2012,5555470.638,9448665.698
388,JAM,Jamaica,Latin America and the Caribbean,2012,3358401.698,4739187.025
392,JPN,Japan,Eastern and South-Eastern Asia (excl. China),2012,425935519.6,758799935.7
398,KAZ,Kazakhstan,Central and Southern Asia,2012,10127221.7,25385851.97
400,JOR,Jordan,Northern Africa and Western Asia,2012,11963140.16,16157400.43
404,KEN,Kenya,Sub-Saharan Africa,2012,6235286.435,10290669.13
408,PRK,"Korea, Democratic People’s Republic",Eastern and South-Eastern Asia (excl. China),2012,1784791.971,3316581.852
410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),2012,270538838.8,494707126.4
414,KWT,Kuwait,Northern Africa and Western Asia,2012,4417520.404,24440484.87
417,KGZ,Kyrgyzstan,Central and Southern Asia,2012,2119400.779,6741324.157
